"","network","rcp","model","nstart","nend","nlost","ngained","flost","fgained","fgainedalt","beta_sor"
"1","ak",45,1,222,222,0,0,0,0,0,1
"2","ak",45,2,222,216,6,0,0.027027027027027,0,0,0.986301369863014
"3","ak",45,3,222,203,19,0,0.0855855855855856,0,0,0.955294117647059
"4","ak",45,4,222,191,31,0,0.13963963963964,0,0,0.924939467312349
"5","ak",45,5,222,222,0,0,0,0,0,1
"6","ak",45,6,222,219,3,0,0.0135135135135135,0,0,0.993197278911565
"7","ak",45,7,222,183,39,0,0.175675675675676,0,0,0.903703703703704
"8","ak",45,8,222,218,4,0,0.018018018018018,0,0,0.990909090909091
"9","ak",45,9,222,216,6,0,0.027027027027027,0,0,0.986301369863014
"10","ak",45,10,222,222,0,0,0,0,0,1
"11","ak",45,11,222,153,69,0,0.310810810810811,0,0,0.816
"12","ak",45,12,222,222,0,0,0,0,0,1
"13","ak",45,13,222,222,0,0,0,0,0,1
"14","ak",85,1,222,154,68,0,0.306306306306306,0,0,0.819148936170213
"15","ak",85,2,222,142,80,0,0.36036036036036,0,0,0.78021978021978
"16","ak",85,3,222,154,68,0,0.306306306306306,0,0,0.819148936170213
"17","ak",85,4,222,135,87,0,0.391891891891892,0,0,0.756302521008403
"18","ak",85,5,222,147,75,0,0.337837837837838,0,0,0.796747967479675
"19","ak",85,6,222,136,86,0,0.387387387387387,0,0,0.759776536312849
"20","ak",85,7,222,134,88,0,0.396396396396396,0,0,0.752808988764045
"21","ak",85,8,222,136,86,0,0.387387387387387,0,0,0.759776536312849
"22","ak",85,9,222,167,55,0,0.247747747747748,0,0,0.858611825192802
"23","ak",85,10,222,152,70,0,0.315315315315315,0,0,0.812834224598931
"24","ak",85,11,222,131,91,0,0.40990990990991,0,0,0.742209631728045
"25","ak",85,12,222,203,19,0,0.0855855855855856,0,0,0.955294117647059
"26","ak",85,13,222,201,21,0,0.0945945945945946,0,0,0.950354609929078
"27","eastcoast",45,1,245,235,15,5,0.0612244897959184,0.0204081632653061,0.0212765957446809,0.958333333333333
"28","eastcoast",45,2,245,245,7,7,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.971428571428571
"29","eastcoast",45,3,241,247,1,7,0.004149377593361,0.029045643153527,0.0283400809716599,0.983606557377049
"30","eastcoast",45,4,235,241,14,20,0.0595744680851064,0.0851063829787234,0.0829875518672199,0.928571428571429
"31","eastcoast",45,5,244,249,4,9,0.0163934426229508,0.0368852459016393,0.036144578313253,0.973630831643002
"32","eastcoast",45,6,244,247,7,10,0.0286885245901639,0.040983606557377,0.0404858299595142,0.965376782077393
"33","eastcoast",45,7,243,238,12,7,0.0493827160493827,0.0288065843621399,0.0294117647058824,0.960498960498961
"34","eastcoast",45,8,245,248,2,5,0.00816326530612245,0.0204081632653061,0.0201612903225806,0.98580121703854
"35","eastcoast",45,9,243,246,3,6,0.0123456790123457,0.0246913580246914,0.024390243902439,0.98159509202454
"36","eastcoast",45,10,247,231,23,7,0.0931174089068826,0.0283400809716599,0.0303030303030303,0.937238493723849
"37","eastcoast",45,11,243,253,1,11,0.00411522633744856,0.0452674897119342,0.0434782608695652,0.975806451612903
"38","eastcoast",45,12,248,248,6,6,0.0241935483870968,0.0241935483870968,0.0241935483870968,0.975806451612903
"39","eastcoast",45,13,244,256,0,12,0,0.0491803278688525,0.046875,0.976
"40","eastcoast",85,1,248,221,34,7,0.137096774193548,0.0282258064516129,0.0316742081447964,0.912579957356077
"41","eastcoast",85,2,245,249,6,10,0.0244897959183673,0.0408163265306122,0.0401606425702811,0.967611336032389
"42","eastcoast",85,3,239,246,9,16,0.0376569037656904,0.0669456066945607,0.0650406504065041,0.948453608247423
"43","eastcoast",85,4,234,222,32,20,0.136752136752137,0.0854700854700855,0.0900900900900901,0.885964912280702
"44","eastcoast",85,5,245,229,26,10,0.106122448979592,0.0408163265306122,0.0436681222707424,0.924050632911392
"45","eastcoast",85,6,244,234,19,9,0.0778688524590164,0.0368852459016393,0.0384615384615385,0.941422594142259
"46","eastcoast",85,7,244,230,24,10,0.0983606557377049,0.040983606557377,0.0434782608695652,0.928270042194093
"47","eastcoast",85,8,245,230,24,9,0.0979591836734694,0.036734693877551,0.0391304347826087,0.930526315789474
"48","eastcoast",85,9,245,221,32,8,0.130612244897959,0.0326530612244898,0.0361990950226244,0.914163090128755
"49","eastcoast",85,10,248,231,24,7,0.0967741935483871,0.0282258064516129,0.0303030303030303,0.935281837160752
"50","eastcoast",85,11,244,224,32,12,0.131147540983607,0.0491803278688525,0.0535714285714286,0.905982905982906
"51","eastcoast",85,12,246,222,35,11,0.142276422764228,0.0447154471544715,0.0495495495495495,0.901709401709402
"52","eastcoast",85,13,244,254,1,11,0.00409836065573771,0.0450819672131148,0.0433070866141732,0.975903614457831
"53","mlpa",45,1,148,139,9,0,0.0608108108108108,0,0,0.968641114982578
"54","mlpa",45,2,147,114,34,1,0.231292517006803,0.00680272108843537,0.0087719298245614,0.865900383141762
"55","mlpa",45,3,145,113,33,1,0.227586206896552,0.00689655172413793,0.00884955752212389,0.868217054263566
"56","mlpa",45,4,153,112,44,3,0.287581699346405,0.0196078431372549,0.0267857142857143,0.822641509433962
"57","mlpa",45,5,151,123,31,3,0.205298013245033,0.0198675496688742,0.024390243902439,0.875912408759124
"58","mlpa",45,6,152,138,20,6,0.131578947368421,0.0394736842105263,0.0434782608695652,0.910344827586207
"59","mlpa",45,7,154,125,32,3,0.207792207792208,0.0194805194805195,0.024,0.874551971326165
"60","mlpa",45,8,148,130,20,2,0.135135135135135,0.0135135135135135,0.0153846153846154,0.920863309352518
"61","mlpa",45,9,153,114,40,1,0.261437908496732,0.0065359477124183,0.0087719298245614,0.846441947565543
"62","mlpa",45,10,153,102,51,0,0.333333333333333,0,0,0.8
"63","mlpa",45,11,156,121,38,3,0.243589743589744,0.0192307692307692,0.0247933884297521,0.851985559566787
"64","mlpa",45,12,163,118,49,4,0.300613496932515,0.0245398773006135,0.0338983050847458,0.811387900355872
"65","mlpa",45,13,149,124,25,0,0.167785234899329,0,0,0.908424908424908
"66","mlpa",85,1,150,130,26,6,0.173333333333333,0.04,0.0461538461538462,0.885714285714286
"67","mlpa",85,2,146,116,36,6,0.246575342465753,0.0410958904109589,0.0517241379310345,0.83969465648855
"68","mlpa",85,3,144,119,32,7,0.222222222222222,0.0486111111111111,0.0588235294117647,0.85171102661597
"69","mlpa",85,4,149,114,42,7,0.281879194630872,0.0469798657718121,0.0614035087719298,0.813688212927757
"70","mlpa",85,5,148,123,31,6,0.209459459459459,0.0405405405405405,0.0487804878048781,0.863468634686347
"71","mlpa",85,6,155,124,35,4,0.225806451612903,0.0258064516129032,0.032258064516129,0.860215053763441
"72","mlpa",85,7,152,125,33,6,0.217105263157895,0.0394736842105263,0.048,0.859205776173285
"73","mlpa",85,8,148,123,31,6,0.209459459459459,0.0405405405405405,0.0487804878048781,0.863468634686347
"74","mlpa",85,9,153,121,39,7,0.254901960784314,0.0457516339869281,0.0578512396694215,0.832116788321168
"75","mlpa",85,10,161,105,59,3,0.366459627329193,0.0186335403726708,0.0285714285714286,0.766917293233083
"76","mlpa",85,11,147,122,33,8,0.224489795918367,0.054421768707483,0.0655737704918033,0.847583643122677
"77","mlpa",85,12,157,127,38,8,0.24203821656051,0.0509554140127389,0.062992125984252,0.838028169014085
"78","mlpa",85,13,147,118,34,5,0.231292517006803,0.0340136054421769,0.0423728813559322,0.852830188679245
