"","x"
"1","Zero presences for 1 acanthephyra pelagica_Atl in DFO_SoGulf, NEFSC_NEUS, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"2","Zero training presences for 1 acanthephyra pelagica_Atl in DFO_ScotianShelf"
"3","Zero presences for 2 achelous spinicarpus_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS so adding some as -23 (1e-10) to allow abundance model fitting"
"4","Zero training presences for 3 actinauge verrilli_Pac in AFSC_EBS, AFSC_WCTri"
"5","Zero presences for 4 acylopsetta quadrocellata_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS so adding some as -23 (1e-10) to allow abundance model fitting"
"6","Zero presences for 5 aforia circinata_Pac in AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"7","Zero training presences for 5 aforia circinata_Pac in AFSC_Aleutians"
"8","Zero presences for 6 albatrossia pectoralis_Pac in AFSC_EBS so adding some as -23 (1e-10) to allow abundance model fitting"
"9","Zero training presences for 6 albatrossia pectoralis_Pac in AFSC_WCTri"
"10","Zero presences for 7 alepocephalus bairdii_Atl in DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"11","Zero presences for 8 alepocephalus tenebrosus_Pac in AFSC_Aleutians, AFSC_EBS so adding some as -23 (1e-10) to allow abundance model fitting"
"12","Zero training presences for 8 alepocephalus tenebrosus_Pac in AFSC_GOA, AFSC_WCTri"
"13","Zero presences for 10 alosa aestivalis_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_SoGulf, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"14","Zero training presences for 10 alosa aestivalis_Atl in DFO_ScotianShelf"
"15","Zero presences for 11 alosa pseudoharengus_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"16","Zero presences for 12 alosa sapidissima_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_SoGulf, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"17","Zero presences for 13 alosa sapidissima_Pac in AFSC_Aleutians, AFSC_EBS, AFSC_GOA so adding some as -23 (1e-10) to allow abundance model fitting"
"18","Zero presences for 14 aluterus schoepfi_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf so adding some as -23 (1e-10) to allow abundance model fitting"
"19","Zero presences for 15 amblyraja radiata_Atl in SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"20","Zero presences for 16 ammodytes dubius_Atl in SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"21","Zero presences for 18 amusium papyraceum_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS so adding some as -23 (1e-10) to allow abundance model fitting"
"22","Zero presences for 19 anarhichas denticulatus_Atl in DFO_SoGulf, NEFSC_NEUS, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"23","Zero presences for 20 anarhichas lupus_Atl in SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"24","Zero presences for 21 anarhichas minor_Atl in DFO_SoGulf, NEFSC_NEUS, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"25","Zero presences for 22 anasimus latus_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS so adding some as -23 (1e-10) to allow abundance model fitting"
"26","Zero presences for 23 anchoa hepsetus_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf so adding some as -23 (1e-10) to allow abundance model fitting"
"27","Zero presences for 24 anchoa mitchilli_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf so adding some as -23 (1e-10) to allow abundance model fitting"
"28","Zero presences for 25 ancylopsetta dilecta_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf so adding some as -23 (1e-10) to allow abundance model fitting"
"29","Zero presences for 27 antennarius radiosus_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf so adding some as -23 (1e-10) to allow abundance model fitting"
"30","Zero presences for 28 anthoptilum grandiflorum_Pac in AFSC_Aleutians, AFSC_EBS so adding some as -23 (1e-10) to allow abundance model fitting"
"31","Zero training presences for 28 anthoptilum grandiflorum_Pac in AFSC_GOA, AFSC_WCTri"
"32","Zero presences for 29 antimora microlepis_Pac in AFSC_EBS so adding some as -23 (1e-10) to allow abundance model fitting"
"33","Zero testing presences for 29 antimora microlepis_Pac in AFSC_Aleutians"
"34","Zero presences for 30 antimora rostrata_Atl in DFO_SoGulf, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"35","Zero training presences for 30 antimora rostrata_Atl in DFO_ScotianShelf, NEFSC_NEUS"
"36","Zero presences for 31 aphrocallistes vastus_Pac in NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"37","Zero presences for 32 apristurus brunneus_Pac in AFSC_Aleutians, AFSC_EBS so adding some as -23 (1e-10) to allow abundance model fitting"
"38","Zero training presences for 32 apristurus brunneus_Pac in AFSC_GOA"
"39","Zero presences for 33 apristurus profundorum_Atl in DFO_SoGulf, NEFSC_NEUS, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"40","Zero training presences for 33 apristurus profundorum_Atl in DFO_ScotianShelf"
"41","Zero presences for 34 argentina silus_Atl in DFO_SoGulf, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"42","Zero presences for 35 argis dentata_Atl in DFO_SoGulf, NEFSC_NEUS, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"43","Zero training presences for 35 argis dentata_Atl in DFO_ScotianShelf"
"44","Zero presences for 36 argis dentata_Pac in AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"45","Zero presences for 37 argis lar_Pac in AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"46","Zero presences for 38 ariopsis felis_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf so adding some as -23 (1e-10) to allow abundance model fitting"
"47","Zero testing presences for 38 ariopsis felis_Atl in NEFSC_NEUS"
"48","Zero presences for 39 aspidophoroides bartoni_Pac in AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"49","Zero presences for 40 aspidophoroides monopterygius_Atl in DFO_SoGulf, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"50","Zero presences for 41 asterias amurensis_Pac in NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"51","Zero training presences for 41 asterias amurensis_Pac in AFSC_WCTri"
"52","Zero presences for 42 astropecte cigulatus_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS so adding some as -23 (1e-10) to allow abundance model fitting"
"53","Zero presences for 43 astropecte duplicatus_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS so adding some as -23 (1e-10) to allow abundance model fitting"
"54","Zero presences for 44 atheresthes evermanni_Pac in AFSC_EBS, AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"55","Zero presences for 45 atheresthes stomias_Pac in AFSC_EBS so adding some as -23 (1e-10) to allow abundance model fitting"
"56","Zero presences for 46 balistes capriscus_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf so adding some as -23 (1e-10) to allow abundance model fitting"
"57","Zero presences for 48 bathybembix bairdii_Pac in AFSC_Aleutians, AFSC_EBS so adding some as -23 (1e-10) to allow abundance model fitting"
"58","Zero training presences for 48 bathybembix bairdii_Pac in AFSC_WCTri"
"59","Zero presences for 49 bathylagus euryops_Atl in DFO_SoGulf, NEFSC_NEUS, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"60","Zero training presences for 49 bathylagus euryops_Atl in DFO_ScotianShelf"
"61","Zero presences for 50 bathymaster signatus_Pac in NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"62","Zero training presences for 50 bathymaster signatus_Pac in AFSC_WCTri"
"63","Zero presences for 51 bathypolypus arcticus_Atl in DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"64","Zero presences for 52 bathyraja aleutica_Pac in AFSC_EBS, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"65","Zero training presences for 52 bathyraja aleutica_Pac in AFSC_WCTri"
"66","Zero presences for 53 bathyraja interrupta_Pac in AFSC_EBS, AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"67","Zero presences for 54 bathyraja maculata_Pac in AFSC_EBS, AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"68","Zero presences for 55 bathyraja parmifera_Pac in AFSC_EBS, AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"69","Zero presences for 56 bathyraja spinicauda_Atl in DFO_SoGulf, NEFSC_NEUS, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"70","Zero testing presences for 56 bathyraja spinicauda_Atl in DFO_ScotianShelf"
"71","Zero presences for 57 bellator militaris_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf so adding some as -23 (1e-10) to allow abundance model fitting"
"72","Zero presences for 58 beringius behringi_Pac in AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"73","Zero training presences for 58 beringius behringi_Pac in AFSC_GOA"
"74","Zero testing presences for 58 beringius behringi_Pac in AFSC_Aleutians"
"75","Zero presences for 60 bollmannia communis_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS so adding some as -23 (1e-10) to allow abundance model fitting"
"76","Zero presences for 61 boltenia ovifera_Pac in AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"77","Zero presences for 62 boreogadus saida_Atl in DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"78","Zero presences for 63 boreogadus saida_Pac in AFSC_Aleutians, AFSC_GOA, AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"79","Zero presences for 64 bothrocara brunneum_Pac in AFSC_EBS so adding some as -23 (1e-10) to allow abundance model fitting"
"80","Zero presences for 65 bothus robisi_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS so adding some as -23 (1e-10) to allow abundance model fitting"
"81","Zero presences for 66 bregmaceros atlanticus_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS so adding some as -23 (1e-10) to allow abundance model fitting"
"82","Zero presences for 67 brevoortia patronus_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS so adding some as -23 (1e-10) to allow abundance model fitting"
"83","Zero presences for 68 brisaster latifrons_Pac in AFSC_EBS so adding some as -23 (1e-10) to allow abundance model fitting"
"84","Zero training presences for 68 brisaster latifrons_Pac in AFSC_Aleutians, AFSC_WCTri"
"85","Zero presences for 69 brosme brosme_Atl in DFO_SoGulf, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"86","Zero presences for 70 brotula barbata_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS so adding some as -23 (1e-10) to allow abundance model fitting"
"87","Zero presences for 71 buccinum angulosum_Pac in AFSC_Aleutians, AFSC_GOA, AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"88","Zero presences for 72 buccinum plectrum_Pac in AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"89","Zero presences for 73 buccinum polare_Pac in AFSC_Aleutians, AFSC_GOA, AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"90","Zero presences for 74 buccinum scalariforme_Pac in AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"91","Zero presences for 75 calappa sulcata_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS so adding some as -23 (1e-10) to allow abundance model fitting"
"92","Zero presences for 76 callinectes sapidus_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf so adding some as -23 (1e-10) to allow abundance model fitting"
"93","Zero presences for 77 callinectes similis_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS so adding some as -23 (1e-10) to allow abundance model fitting"
"94","Zero presences for 78 cancer borealis_Atl in DFO_SoGulf, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"95","Zero training presences for 78 cancer borealis_Atl in DFO_NewfoundlandFall"
"96","Zero presences for 79 cancer irroratus_Atl in DFO_NewfoundlandSpring, DFO_SoGulf, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"97","Zero testing presences for 79 cancer irroratus_Atl in DFO_NewfoundlandFall"
"98","Zero presences for 80 caranx crysos_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf so adding some as -23 (1e-10) to allow abundance model fitting"
"99","Zero presences for 81 careproctus melanurus_Pac in AFSC_EBS so adding some as -23 (1e-10) to allow abundance model fitting"
"100","Zero presences for 82 careproctus rastrinus_Pac in NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"101","Zero testing presences for 82 careproctus rastrinus_Pac in AFSC_WCTri"
"102","Zero presences for 83 caulolatilus intermedius_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS so adding some as -23 (1e-10) to allow abundance model fitting"
"103","Zero presences for 84 centropristis philadelphica_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf so adding some as -23 (1e-10) to allow abundance model fitting"
"104","Zero presences for 85 centropristis striata_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"105","Zero presences for 86 centroscyllium fabricii_Atl in DFO_SoGulf, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"106","Zero presences for 87 cetropristis ocyura_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS so adding some as -23 (1e-10) to allow abundance model fitting"
"107","Zero presences for 88 chaetodipterus faber_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf so adding some as -23 (1e-10) to allow abundance model fitting"
"108","Zero presences for 89 chauliodus macouni_Pac in AFSC_EBS so adding some as -23 (1e-10) to allow abundance model fitting"
"109","Zero presences for 90 chauliodus sloani_Atl in DFO_SoGulf, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"110","Zero training presences for 90 chauliodus sloani_Atl in DFO_ScotianShelf"
"111","Zero training presences for 91 cheiraster dawsoni_Pac in AFSC_EBS, AFSC_WCTri"
"112","Zero presences for 92 chiasmodon niger_Atl in DFO_SoGulf, NEFSC_NEUS, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"113","Zero training presences for 92 chiasmodon niger_Atl in DFO_ScotianShelf"
"114","Zero presences for 94 chionoecetes opilio_Atl in SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"115","Zero presences for 95 chionoecetes opilio_Pac in AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"116","Zero testing presences for 95 chionoecetes opilio_Pac in AFSC_GOA"
"117","Zero presences for 96 chionoecetes tanneri_Pac in AFSC_EBS so adding some as -23 (1e-10) to allow abundance model fitting"
"118","Zero presences for 97 chlamys islandica_Atl in DFO_SoGulf, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"119","Zero training presences for 97 chlamys islandica_Atl in DFO_ScotianShelf"
"120","Zero presences for 98 chlamys rubida_Pac in NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"121","Zero training presences for 98 chlamys rubida_Pac in AFSC_WCTri"
"122","Zero presences for 99 chloroscombrus chrysurus_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf so adding some as -23 (1e-10) to allow abundance model fitting"
"123","Zero training presences for 100 chorilia longipes_Pac in AFSC_EBS, AFSC_WCTri"
"124","Zero training presences for 101 chrysaora melanaster_Pac in AFSC_EBS, AFSC_WCTri"
"125","Zero presences for 102 chrysaora quinquecirrha_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS so adding some as -23 (1e-10) to allow abundance model fitting"
"126","Zero presences for 103 citharichthys arctifrons_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_SoGulf, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"127","Zero presences for 104 citharichthys macrops_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf so adding some as -23 (1e-10) to allow abundance model fitting"
"128","Zero presences for 105 citharichthys sordidus_Pac in AFSC_Aleutians, AFSC_EBS so adding some as -23 (1e-10) to allow abundance model fitting"
"129","Zero presences for 106 citharichthys spilopterus_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf so adding some as -23 (1e-10) to allow abundance model fitting"
"130","Zero training presences for 106 citharichthys spilopterus_Atl in NEFSC_NEUS"
"131","Zero presences for 107 clinocardium ciliatum_Pac in AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"132","Zero presences for 108 clinopegma magnum_Pac in AFSC_Aleutians, AFSC_GOA, AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"133","Zero presences for 109 clupea harengus_Atl in SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"134","Zero presences for 111 coryphaenoides acrolepis_Pac in AFSC_Aleutians, AFSC_EBS so adding some as -23 (1e-10) to allow abundance model fitting"
"135","Zero presences for 112 coryphaenoides rupestris_Atl in DFO_SoGulf, NEFSC_NEUS, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"136","Zero presences for 113 cottunculus microps_Atl in DFO_SoGulf, NEFSC_NEUS, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"137","Zero training presences for 113 cottunculus microps_Atl in DFO_ScotianShelf"
"138","Zero presences for 114 crangon dalli_Pac in AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"139","Zero training presences for 115 crossaster borealis_Pac in AFSC_WCTri"
"140","Zero training presences for 116 crossaster papposus_Pac in AFSC_WCTri"
"141","Zero presences for 118 cucumaria fallax_Pac in AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"142","Zero training presences for 119 cyanea capillata_Pac in AFSC_EBS"
"143","Zero testing presences for 119 cyanea capillata_Pac in NWFSC_WCAnn"
"144","Zero presences for 120 cyclopsetta chittendeni_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS so adding some as -23 (1e-10) to allow abundance model fitting"
"145","Zero presences for 121 cyclopterus lumpus_Atl in DFO_SoGulf, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"146","Zero presences for 122 cynoscion arenarius_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf so adding some as -23 (1e-10) to allow abundance model fitting"
"147","Zero testing presences for 122 cynoscion arenarius_Atl in NEFSC_NEUS"
"148","Zero presences for 123 cynoscion nothus_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf so adding some as -23 (1e-10) to allow abundance model fitting"
"149","Zero presences for 124 cynoscion regalis_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"150","Zero presences for 125 dasyatis centroura_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"151","Zero presences for 126 dasyatis say_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf so adding some as -23 (1e-10) to allow abundance model fitting"
"152","Zero training presences for 127 dasycottus setiger_Pac in AFSC_WCTri"
"153","Zero testing presences for 127 dasycottus setiger_Pac in NWFSC_WCAnn"
"154","Zero presences for 128 decapterus puctatus_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS so adding some as -23 (1e-10) to allow abundance model fitting"
"155","Zero presences for 129 decapterus punctatus_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"156","Zero presences for 130 dichelopandalus leptocerus_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"157","Zero presences for 131 diplectrum bivittatum_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf so adding some as -23 (1e-10) to allow abundance model fitting"
"158","Zero training presences for 131 diplectrum bivittatum_Atl in NEFSC_NEUS"
"159","Zero presences for 132 diplectrum formosum_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf so adding some as -23 (1e-10) to allow abundance model fitting"
"160","Zero presences for 133 dipsacaster borealis_Pac in AFSC_WCTri so adding some as -23 (1e-10) to allow abundance model fitting"
"161","Zero presences for 134 dipsacaster eximius_Pac in AFSC_Aleutians, AFSC_EBS, AFSC_GOA, AFSC_WCTri so adding some as -23 (1e-10) to allow abundance model fitting"
"162","Zero presences for 135 dipturus laevis_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_SoGulf, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"163","Zero presences for 136 dromalia alexandri_Pac in AFSC_Aleutians, AFSC_EBS, AFSC_GOA, AFSC_WCTri so adding some as -23 (1e-10) to allow abundance model fitting"
"164","Zero presences for 137 echinarachnius parma_Atl in DFO_SoGulf, NEFSC_NEUS, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"165","Zero training presences for 137 echinarachnius parma_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring"
"166","Zero presences for 138 elassochirus cavimanus_Pac in AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"167","Zero presences for 139 eleginus gracilis_Pac in AFSC_Aleutians, AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"168","Zero presences for 140 embassichthys bathybius_Pac in AFSC_Aleutians, AFSC_EBS so adding some as -23 (1e-10) to allow abundance model fitting"
"169","Zero training presences for 140 embassichthys bathybius_Pac in AFSC_WCTri"
"170","Zero presences for 141 enchelyopus cimbrius_Atl in SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
